category,model,space,size
text-classification,cardiffnlp/twitter-roberta-base-sentiment-latest,tinkoff-ai/caif,28.2
text-classification,cardiffnlp/twitter-roberta-base-sentiment-latest,Margaret/mazzuma-sentiment-engine,2.0
text-classification,cardiffnlp/twitter-roberta-base-sentiment-latest,ThankGod/text-classification,3.9
text-classification,cardiffnlp/twitter-roberta-base-sentiment-latest,jmparejaz/Audio_to_text_classification,9.8
text-classification,cardiffnlp/twitter-roberta-base-sentiment-latest,zama-fhe/encrypted_sentiment_analysis,2001.8
text-classification,cardiffnlp/twitter-roberta-base-sentiment-latest,rizam/rakeeb_tweet_sentiment,1.8
text-classification,cardiffnlp/twitter-roberta-base-sentiment-latest,rizam/rakeeb_text-classification,3.9
text-classification,cardiffnlp/twitter-roberta-base-sentiment-latest,bradarrML/encrypted_sentiment_analysis,8336.1
text-classification,cardiffnlp/twitter-roberta-base-sentiment-latest,mattaylor/embedding,2.8
text-classification,cardiffnlp/twitter-roberta-base-sentiment-latest,FrancescoBerg/cardiffnlp-twitter-roberta-base-sentiment-latest,1.8
text-classification,cardiffnlp/twitter-roberta-base-sentiment-latest,dajayk12/cardiffnlp-twitter-roberta-base-sentiment-latest,1.8
text-classification,cardiffnlp/twitter-roberta-base-sentiment-latest,dvilasuero/gradio-argilla-logger,2.9
text-classification,cardiffnlp/twitter-roberta-base-sentiment-latest,Daniton/cardiffnlp-twitter-roberta-base-sentiment-latest,1.8
text-classification,cardiffnlp/twitter-roberta-base-sentiment-latest,Daniton/cardiffnlp-twitter-roberta-base-sentiment-latestd,1.9
text-classification,cardiffnlp/twitter-roberta-base-sentiment-latest,Daniton/cardiffnlp-twitter-roberta-base-sentidment-latestd,1.9
text-classification,cardiffnlp/twitter-roberta-base-sentiment-latest,Daniton/cardiffnlp-twitter-roberta-based-sentidment-latestd,1.9
text-classification,cardiffnlp/twitter-roberta-base-sentiment-latest,Daniton/cardiffnlp-twitter-robertam-based-sentidment-latestd,1.9
text-classification,cardiffnlp/twitter-roberta-base-sentiment-latest,Daniton/cardiffnlp-twitter-robertam-based-sentiddment-latestd,1.9
text-classification,cardiffnlp/twitter-roberta-base-sentiment-latest,Daniton/cardiffnlp-twitter-drobertam-based-sentiddment-latestd,1.9
text-classification,cardiffnlp/twitter-roberta-base-sentiment-latest,Daniton/cardiffnlp-twitter-drobertam-basedd-sentiddment-latestd,1.9
text-classification,cardiffnlp/twitter-roberta-base-sentiment-latest,lsacy/menduChat,10373.7
text-classification,cardiffnlp/twitter-roberta-base-sentiment-latest,quni/cardiffnlp-twitter-roberta-base-sentiment-latest,1.9
text-classification,cardiffnlp/twitter-roberta-base-sentiment-latest,cscan/Audio_to_text_classification,9.9
text-classification,cardiffnlp/twitter-roberta-base-sentiment-latest,pranjal065/process_fest,8.1
text-classification,cardiffnlp/twitter-roberta-base-sentiment-latest,JulianHame/sentiment-analysis-app,2.7
text-classification,cardiffnlp/twitter-roberta-base-sentiment-latest,Pruthul/CS482-104-Milestone2,3.3
text-classification,cardiffnlp/twitter-roberta-base-sentiment-latest,alpha-hp/twitter-s,2.0
text-classification,cardiffnlp/twitter-roberta-base-sentiment-latest,alpha-hp/cardiffnlp-twitter-roberta-base-sentiment-latest,1.8
text-classification,cardiffnlp/twitter-roberta-base-sentiment-latest,metaknightccc/sentiment-analysis-app,1418586.1
text-classification,cardiffnlp/twitter-roberta-base-sentiment-latest,poiiii/clefourrier-graphormer-base-pcqm4mv1,2.1
text-classification,cardiffnlp/twitter-roberta-base-sentiment-latest,JKJanosko/Toxicity-Analysis,481347.8
text-classification,cardiffnlp/twitter-roberta-base-sentiment-latest,kya5/CS482-Milestone2,2.7
text-classification,cardiffnlp/twitter-roberta-base-sentiment-latest,bobrooos/cardiffnlp-twitter-roberta-base-sentiment-latest,1.8
text-classification,cardiffnlp/twitter-roberta-base-sentiment-latest,zox47/cardiffnlp-twitter-roberta-base-sentiment-latest,1.8
text-classification,cardiffnlp/twitter-roberta-base-sentiment-latest,MikeJeong/CS482-FineTune,5.7
text-classification,cardiffnlp/twitter-roberta-base-sentiment-latest,MikeJeong/CSProject,3.4
text-classification,cardiffnlp/twitter-roberta-base-sentiment-latest,MikeJeong/apppp,3.3
text-classification,cardiffnlp/twitter-roberta-base-sentiment-latest,KunaalNaik/SentmentAnalysis_HF1,2.8
text-classification,cardiffnlp/twitter-roberta-base-sentiment-latest,Mahipal/nlp_dashboard,17.6
text-classification,cardiffnlp/twitter-roberta-base-sentiment-latest,prlabs2023/text-sentiment-1,68.5
text-classification,cardiffnlp/twitter-roberta-base-sentiment-latest,Dranities/chatbots,10591.1
text-classification,cardiffnlp/twitter-roberta-base-sentiment-latest,834188divi/cardiffnlp-twitter-roberta-base-sentiment-latest,1.9
text-classification,cardiffnlp/twitter-roberta-base-sentiment-latest,TestSpace/cardiffnlp-twitter-roberta-base-sentiment-latest,1.9
text-classification,cardiffnlp/twitter-roberta-base-sentiment-latest,TestSpace/cardiffnlp-twitter-roberta-base-sentiment-latest-gradio,1.9
text-classification,cardiffnlp/twitter-roberta-base-sentiment-latest,AIConsultant/sentiment-analysis-system,8.9
text-classification,cardiffnlp/twitter-roberta-base-sentiment-latest,dilums/twitter-sentiment,333.6
text-classification,cardiffnlp/twitter-roberta-base-sentiment-latest,salmanmoh/cardiffnlp-twitter-roberta-base-sentiment-latest,1.9
text-classification,cardiffnlp/twitter-roberta-base-sentiment-latest,10isha/cardiffnlp-twitter-roberta-base-sentiment-latest,1.9
text-classification,cardiffnlp/twitter-roberta-base-sentiment-latest,PradeepKumar11519/1stspace,1.9
text-classification,cardiffnlp/twitter-roberta-base-sentiment-latest,saipranaydeep/demo,1.9
text-classification,cardiffnlp/twitter-roberta-base-sentiment-latest,miscjose/Data-Annotation-Tool,9.4
text-classification,cardiffnlp/twitter-roberta-base-sentiment-latest,sotirios-slv/cardiffnlp-twitter-roberta-base-sentiment-latest,1.9
text-classification,cardiffnlp/twitter-roberta-base-sentiment-latest,dai152/1,2.0
text-classification,cardiffnlp/twitter-roberta-base-sentiment-latest,Fatima33/cardiffnlp-twitter-roberta-base-sentiment-latest,1.9
text-classification,cardiffnlp/twitter-roberta-base-sentiment-latest,springchill/cardiffnlp-sentiment,1.9
text-classification,cardiffnlp/twitter-roberta-base-sentiment-latest,data2science/cardiffnlp-twitter-roberta-base-sentiment-latest,1.9
text-classification,cardiffnlp/twitter-roberta-base-sentiment-latest,wsaults/cardiffnlp-twitter-roberta-base-sentiment-latest,1.9
text-classification,cardiffnlp/twitter-roberta-base-sentiment-latest,umair894/hamri-sumerization-wali-app,2.3
text-classification,cardiffnlp/twitter-roberta-base-sentiment-latest,dx1/cardiffnlp-twitter-roberta-base-sentiment-latest,1.9
text-classification,cardiffnlp/twitter-roberta-base-sentiment-latest,nyangasi/Twitter_Sentiment_Analysis_App,3.7
text-classification,cardiffnlp/twitter-roberta-base-sentiment-latest,farooq-09/cardiffnlp-twitter-roberta-base-sentiment-latest,1.9
text-classification,cardiffnlp/twitter-roberta-base-sentiment-latest,subhannadeem1/Audio_to_text_classification,5.3
text-classification,cardiffnlp/twitter-roberta-base-sentiment-latest,ZeroCommand/test-giskard-bot,106.4
text-classification,cardiffnlp/twitter-roberta-base-sentiment-latest,HimanshuA/Space,2.1
text-classification,cardiffnlp/twitter-roberta-base-sentiment-latest,as27/sentiment-analysis-fhe,71.2
text-classification,cardiffnlp/twitter-roberta-base-sentiment-latest,Krittaprot/YT-comments-analyzer-demo,15.6
text-classification,cardiffnlp/twitter-roberta-base-sentiment-latest,NarayanaMayya/web-creations-for-ai-models.streamlit.app3,1373644.8
text-classification,cardiffnlp/twitter-roberta-base-sentiment-latest,ZeroCommand/test-giskard-bot-new,51.5
text-classification,cardiffnlp/twitter-roberta-base-sentiment-latest,F00KEN/e-motion,46.1
text-classification,cardiffnlp/twitter-roberta-base-sentiment-latest,kenlomax/hackaithonklxa,2.5
text-classification,smilegate-ai/kor_unsmile,ljh838/ace,0.9
text-classification,smilegate-ai/kor_unsmile,h2oai/h2ogpt-chatbot,1115.4
text-classification,smilegate-ai/kor_unsmile,h2oai/h2ogpt-chatbot2,1114.6
text-classification,smilegate-ai/kor_unsmile,elitecode/h2ogpt-chatbot2,490.6
text-classification,smilegate-ai/kor_unsmile,akashkj/H2OGPT,3354384.5
text-classification,smilegate-ai/kor_unsmile,ariel0330/h2osiri,7531343.5
text-classification,smilegate-ai/kor_unsmile,ccoreilly/aigua-xat,686.2
text-classification,smilegate-ai/kor_unsmile,AnonymousSub/Ayurveda_Chatbot,837.4
text-classification,smilegate-ai/kor_unsmile,kelvin-t-lu/chatbot,20791.7
text-classification,smilegate-ai/kor_unsmile,his0/h2ogpt-chatbot,1115.4
text-classification,smilegate-ai/kor_unsmile,atimughal662/InfoFusion,1365.4
text-classification,smilegate-ai/kor_unsmile,Sambhavnoobcoder/h2ogpt-chatbot,1115.4
text-classification,cardiffnlp/twitter-roberta-base-irony,Eberhenriquez/cardiffnlp-twitter-roberta-base-irony,1.9
text-classification,cardiffnlp/twitter-roberta-base-irony,interestedperson/cardiffnlp-twitter-roberta-base-irony,1.9
text-classification,lxyuan/distilbert-base-multilingual-cased-sentiments-student,jingwora/language-emotion-classification-sentiment-ja,4.3
text-classification,lxyuan/distilbert-base-multilingual-cased-sentiments-student,storresbusquets/demo1,6779.7
text-classification,lxyuan/distilbert-base-multilingual-cased-sentiments-student,miscjose/Data-Annotation-Tool,9.4
text-classification,lxyuan/distilbert-base-multilingual-cased-sentiments-student,storresbusquets/llm-demo1,1022.0
text-classification,lxyuan/distilbert-base-multilingual-cased-sentiments-student,AndresAlejandro/demo1,6780.0
text-classification,lxyuan/distilbert-base-multilingual-cased-sentiments-student,AndresAlejandro/llm-demo1-finalfinal,25.1
text-classification,lxyuan/distilbert-base-multilingual-cased-sentiments-student,storresbusquets/tfm-media-insights,1024.1
text-classification,lxyuan/distilbert-base-multilingual-cased-sentiments-student,alexvaroz/sentiment_analysis_pt,2.3
text-classification,lxyuan/distilbert-base-multilingual-cased-sentiments-student,DanyaalMajid/NLP-Q2,5.5
text-classification,lxyuan/distilbert-base-multilingual-cased-sentiments-student,syedabdullah32/sentiments-student,1.9
text-classification,lxyuan/distilbert-base-multilingual-cased-sentiments-student,mmerlange/test1,3.5
text-classification,lxyuan/distilbert-base-multilingual-cased-sentiments-student,xclasscode/sentiment_analyzer,6.8
text-classification,lxyuan/distilbert-base-multilingual-cased-sentiments-student,GaboDataScientist/gradio-sentiment-analyzer,2.3
text-classification,distilbert-base-uncased-finetuned-sst-2-english,Endre/SemanticSearch-HU,1053774.4
text-classification,distilbert-base-uncased-finetuned-sst-2-english,chinhon/Speech_Sentiment_Analysis,5.0
text-classification,distilbert-base-uncased-finetuned-sst-2-english,chinhon/sentiment_structure_visualiser,5.8
text-classification,distilbert-base-uncased-finetuned-sst-2-english,justheuristic/ysda-demo,2.6
text-classification,distilbert-base-uncased-finetuned-sst-2-english,ANDRYHA/FakeNewsClassifier,274518.2
text-classification,distilbert-base-uncased-finetuned-sst-2-english,nazneen/interactive-model-cards,27785.0
text-classification,distilbert-base-uncased-finetuned-sst-2-english,ayse/sentiment-classifier,3.3
text-classification,distilbert-base-uncased-finetuned-sst-2-english,abidlabs/call-sentiment-blocks-2,3374.6
text-classification,distilbert-base-uncased-finetuned-sst-2-english,nazneen/error-analysis,374568.9
text-classification,distilbert-base-uncased-finetuned-sst-2-english,autoevaluate/error-analysis,374568.1
text-classification,distilbert-base-uncased-finetuned-sst-2-english,butterswords/nlc-explorer,3332.1
text-classification,distilbert-base-uncased-finetuned-sst-2-english,tinkoff-ai/caif,28.2
text-classification,distilbert-base-uncased-finetuned-sst-2-english,husnu/ASR_to_QA,57.3
text-classification,distilbert-base-uncased-finetuned-sst-2-english,ombhagwat24/senti,2.1
text-classification,distilbert-base-uncased-finetuned-sst-2-english,greco/survey_analytics_spaces,91098.2
text-classification,distilbert-base-uncased-finetuned-sst-2-english,Saurav21/Sentiment-Analysis,2.2
text-classification,distilbert-base-uncased-finetuned-sst-2-english,EnzoBustos/IC-2022-Classificacao-de-Dados-Financeiros,653033.8
text-classification,distilbert-base-uncased-finetuned-sst-2-english,rajistics/interpet_transformers,56.9
text-classification,distilbert-base-uncased-finetuned-sst-2-english,nazneen/seal,555935.7
text-classification,distilbert-base-uncased-finetuned-sst-2-english,CK42/sentiment-model-comparison,5.0
text-classification,distilbert-base-uncased-finetuned-sst-2-english,ccolas/TastyPiano,732949.2
text-classification,distilbert-base-uncased-finetuned-sst-2-english,codesue/dystopedia,16.3
text-classification,distilbert-base-uncased-finetuned-sst-2-english,anonymous8/Rapid-Textual-Adversarial-Defense,2602347.4
text-classification,distilbert-base-uncased-finetuned-sst-2-english,pattawat/stat_ds__02,2.1
text-classification,distilbert-base-uncased-finetuned-sst-2-english,Jindong/test123,10.2
text-classification,distilbert-base-uncased-finetuned-sst-2-english,fxmarty/bettertransformer-demo,111.2
text-classification,distilbert-base-uncased-finetuned-sst-2-english,TangibleAI/mathtext,64.8
text-classification,distilbert-base-uncased-finetuned-sst-2-english,Booguy/linguask,5653.5
text-classification,distilbert-base-uncased-finetuned-sst-2-english,fabiochiu/sentiment-analysis-demo,5.2
text-classification,distilbert-base-uncased-finetuned-sst-2-english,mattaylor/embedding,2.8
text-classification,distilbert-base-uncased-finetuned-sst-2-english,ucd-fs/sentiment-analysis,2.5
text-classification,distilbert-base-uncased-finetuned-sst-2-english,madani/space1,2.0
text-classification,distilbert-base-uncased-finetuned-sst-2-english,madani/streamlit1,2.3
text-classification,distilbert-base-uncased-finetuned-sst-2-english,pngwn/sentiment-analysis-demo,5.2
text-classification,distilbert-base-uncased-finetuned-sst-2-english,Rimi98/ReviewClassifier,68917.8
text-classification,distilbert-base-uncased-finetuned-sst-2-english,society-ethics/model-card-regulatory-check,309.9
text-classification,distilbert-base-uncased-finetuned-sst-2-english,awacke1/TorchMLTrainerStreamlit,4.6
text-classification,distilbert-base-uncased-finetuned-sst-2-english,kelvinleong/Kt_Demo_Text-Classification,2.4
text-classification,distilbert-base-uncased-finetuned-sst-2-english,kelvinleong/Kt-Demo-Text_classifier,2.4
text-classification,distilbert-base-uncased-finetuned-sst-2-english,abrar-adnan/speech-analyzer,185867.4
text-classification,distilbert-base-uncased-finetuned-sst-2-english,echarlaix/openvino-export,44.2
text-classification,distilbert-base-uncased-finetuned-sst-2-english,kyleledbetter/responsibleGPT,21.5
text-classification,distilbert-base-uncased-finetuned-sst-2-english,ac8736/sentiment-analysis-app,94.9
text-classification,distilbert-base-uncased-finetuned-sst-2-english,JulianHame/sentiment-analysis-app,2.7
text-classification,distilbert-base-uncased-finetuned-sst-2-english,cfsandu/OnLineSentimentAnalysis,3.1
text-classification,distilbert-base-uncased-finetuned-sst-2-english,mariasandu/sentiment-analysis-of-a-tweet,74.5
text-classification,distilbert-base-uncased-finetuned-sst-2-english,sergey-hovhannisyan/toxic-tweets,56182.8
text-classification,distilbert-base-uncased-finetuned-sst-2-english,kingsotn/tt-ai,116.6
text-classification,distilbert-base-uncased-finetuned-sst-2-english,sihanasaku/SentimentAnalysisApp,1.3
text-classification,distilbert-base-uncased-finetuned-sst-2-english,Olivernyu/sentiment_analysis_app,9.2
text-classification,distilbert-base-uncased-finetuned-sst-2-english,sachiniyer/toxic-tweets,12.3
text-classification,distilbert-base-uncased-finetuned-sst-2-english,miknad2319/CS485-Milestone-2,26.3
text-classification,distilbert-base-uncased-finetuned-sst-2-english,Soruki/Sentiment-analyzer,2.1
text-classification,distilbert-base-uncased-finetuned-sst-2-english,Keshavp08/sentiment-analysis-app,3.2
text-classification,distilbert-base-uncased-finetuned-sst-2-english,microsoft/HuggingGPT,0.0
text-classification,distilbert-base-uncased-finetuned-sst-2-english,Jainesh212/Sentiment_Ana,0.0
text-classification,distilbert-base-uncased-finetuned-sst-2-english,andyqin18/sentiment-analysis-app,0.0
text-classification,distilbert-base-uncased-finetuned-sst-2-english,keaneu/HuggingGPT,0.0
text-classification,distilbert-base-uncased-finetuned-sst-2-english,aim9061/sentiment-analysis,262.4
text-classification,distilbert-base-uncased-finetuned-sst-2-english,viscosity/HuggingGPT,3395.1
text-classification,distilbert-base-uncased-finetuned-sst-2-english,Michael54546/milestone2,1.4
text-classification,distilbert-base-uncased-finetuned-sst-2-english,Hrithikka/sentiment-analysis,2.8
text-classification,distilbert-base-uncased-finetuned-sst-2-english,davidchiii/toxic-tweets,145449.8
text-classification,distilbert-base-uncased-finetuned-sst-2-english,slachitoff/CS-GY_6613_Project,3.8
text-classification,distilbert-base-uncased-finetuned-sst-2-english,Kev07/Toxic-Tweets,89.4
text-classification,distilbert-base-uncased-finetuned-sst-2-english,dk3156/sentiment_analysis_app,14.4
text-classification,distilbert-base-uncased-finetuned-sst-2-english,Mcdof/HuggingGPT,3395.5
text-classification,distilbert-base-uncased-finetuned-sst-2-english,VarshithaCh/sentiment-analysis-app,2.6
text-classification,distilbert-base-uncased-finetuned-sst-2-english,rd448/sentiment-analysis-streamlit,355.2
text-classification,distilbert-base-uncased-finetuned-sst-2-english,BMukhtar/BMA,3399.3
text-classification,distilbert-base-uncased-finetuned-sst-2-english,chrisW6825/HuggingGPT,3396.8
text-classification,distilbert-base-uncased-finetuned-sst-2-english,Shenziqian/HuggingGPT,3396.8
text-classification,distilbert-base-uncased-finetuned-sst-2-english,lokutus/HuggingGPT,3396.8
text-classification,distilbert-base-uncased-finetuned-sst-2-english,ccarr0807/HuggingGPT,3396.8
text-classification,distilbert-base-uncased-finetuned-sst-2-english,mimiqiao/HuggingGPT,3396.8
text-classification,distilbert-base-uncased-finetuned-sst-2-english,arpachat/sentiment-analysis,3.8
text-classification,distilbert-base-uncased-finetuned-sst-2-english,tsgbalakarthik/HuggingGPT,3396.8
text-classification,distilbert-base-uncased-finetuned-sst-2-english,Rathgeberj/CS-UY4613Project,3147.6
text-classification,distilbert-base-uncased-finetuned-sst-2-english,emmaenglish/sentiment-analysis-of-text-app,94.2
text-classification,distilbert-base-uncased-finetuned-sst-2-english,wowochkin/HuggingGPT,3396.8
text-classification,distilbert-base-uncased-finetuned-sst-2-english,Msp/HuggingGPT,3396.8
text-classification,distilbert-base-uncased-finetuned-sst-2-english,notbhu/toxic-tweets,460.3
text-classification,distilbert-base-uncased-finetuned-sst-2-english,v-nemala/sentiment-analysis,275824.7
text-classification,distilbert-base-uncased-finetuned-sst-2-english,CodyJiang/text-sentiment-analysis-app,1.9
text-classification,distilbert-base-uncased-finetuned-sst-2-english,oscarvel821/sentiment-analysis-app,29.2
text-classification,distilbert-base-uncased-finetuned-sst-2-english,mohdAkibUddin/sentiment-analysis-application,181.7
text-classification,distilbert-base-uncased-finetuned-sst-2-english,dbleek/cs-gy-6613-project,171.7
text-classification,distilbert-base-uncased-finetuned-sst-2-english,jlaf01/sentiment-analysis-app,21.3
text-classification,distilbert-base-uncased-finetuned-sst-2-english,RobCaamano/Finetuning_Language_Models-Toxic_Tweets,8.5
text-classification,distilbert-base-uncased-finetuned-sst-2-english,Ptato/Sentiment-Analysis,61881.1
text-classification,distilbert-base-uncased-finetuned-sst-2-english,metaknightccc/sentiment-analysis-app,1418586.1
text-classification,distilbert-base-uncased-finetuned-sst-2-english,Rafarod513/sentiment-analysis-cs482,1.9
text-classification,distilbert-base-uncased-finetuned-sst-2-english,medelharchaoui/sent_app,2.5
text-classification,distilbert-base-uncased-finetuned-sst-2-english,ryan12439/HuggingGPTpub,3396.8
text-classification,distilbert-base-uncased-finetuned-sst-2-english,FANCHIYU/HuggingGPT,3396.8
text-classification,distilbert-base-uncased-finetuned-sst-2-english,Betacuckgpt/HuggingGPT,3396.8
text-classification,distilbert-base-uncased-finetuned-sst-2-english,cashqin/HuggingGPT,3396.8
text-classification,distilbert-base-uncased-finetuned-sst-2-english,felixfriday/MICROSOFTT_JARVIS_HuggingGPT,3396.8
text-classification,distilbert-base-uncased-finetuned-sst-2-english,Meffordh/HuggingGPT,3396.8
text-classification,distilbert-base-uncased-finetuned-sst-2-english,lzqfree/HuggingGPT,3397.7
text-classification,distilbert-base-uncased-finetuned-sst-2-english,bountyfuljr/HuggingGPTplaypublic,3397.9
text-classification,distilbert-base-uncased-finetuned-sst-2-english,mearjunsha/HuggingGPT,3398.1
text-classification,distilbert-base-uncased-finetuned-sst-2-english,AiPalsDev/Translate_It,4.5
text-classification,distilbert-base-uncased-finetuned-sst-2-english,turbowed/HuggingGPT,3398.1
text-classification,distilbert-base-uncased-finetuned-sst-2-english,Chokyounghoon/HuggingGPT,3398.1
text-classification,distilbert-base-uncased-finetuned-sst-2-english,lollo21/Will-GPT,3398.1
text-classification,distilbert-base-uncased-finetuned-sst-2-english,Pfs2021Funny/HuggingGPT,3398.1
text-classification,distilbert-base-uncased-finetuned-sst-2-english,irritablebro/HuggingGPT,3398.1
text-classification,distilbert-base-uncased-finetuned-sst-2-english,julianna-fil/EmotionApp,20274.8
text-classification,distilbert-base-uncased-finetuned-sst-2-english,MagKoz/HuggingGPT,3398.1
text-classification,distilbert-base-uncased-finetuned-sst-2-english,zhangdream/HuggingGPT,3398.1
text-classification,distilbert-base-uncased-finetuned-sst-2-english,sepo96/sentiment_analysis,4.7
text-classification,distilbert-base-uncased-finetuned-sst-2-english,gefedya/YSDA_transfprmers_nlp_ops,1489028.2
text-classification,distilbert-base-uncased-finetuned-sst-2-english,calliber/HuggingGPT,3398.0
text-classification,distilbert-base-uncased-finetuned-sst-2-english,theholycityweb/HuggingGPT,3398.0
text-classification,distilbert-base-uncased-finetuned-sst-2-english,Pitak/HuggingGPT,3398.0
text-classification,distilbert-base-uncased-finetuned-sst-2-english,gaocegege/HuggingGPT,3398.0
text-classification,distilbert-base-uncased-finetuned-sst-2-english,apgarmd/jarvis,3398.2
text-classification,distilbert-base-uncased-finetuned-sst-2-english,apgarmd/jarvis2,3398.0
text-classification,distilbert-base-uncased-finetuned-sst-2-english,mukulnag/HuggingGPT1,3398.3
text-classification,distilbert-base-uncased-finetuned-sst-2-english,lugifudun/HuggingGPT,3398.3
text-classification,distilbert-base-uncased-finetuned-sst-2-english,leadmaister/HuggingGPT,3398.5
text-classification,distilbert-base-uncased-finetuned-sst-2-english,pors/HuggingGPT,3398.3
text-classification,distilbert-base-uncased-finetuned-sst-2-english,vs4vijay/HuggingGPT,3398.3
text-classification,distilbert-base-uncased-finetuned-sst-2-english,AhmedFaisal/milestone-3,143837.8
text-classification,distilbert-base-uncased-finetuned-sst-2-english,mariasandu/detecting-toxic-tweets,74.8
text-classification,distilbert-base-uncased-finetuned-sst-2-english,mariasandu/toxic-comment-app,74.8
text-classification,distilbert-base-uncased-finetuned-sst-2-english,mckeeboards/HuggingGPT,3398.3
text-classification,distilbert-base-uncased-finetuned-sst-2-english,Mcdimmy/testing,2.2
text-classification,distilbert-base-uncased-finetuned-sst-2-english,JKJanosko/Toxicity-Analysis,481347.8
