category,model,space,size
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,mohanchinnappan/senti,5.4
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,After-the-Dark/sentiment-analysis,5.4
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,Matt-CB/TwitterAccountAnalyzer,163.1
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,VeyVey/CovidSentiment,2.3
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,VeyVey/Predict_Weather,3.2
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,Sixty9/TA7,4.0
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,Sixty9/Sixth_Sense,4.0
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,patel18/sentiment_analysis,3.4
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,santireyg/memeficador,2016.9
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,Shweta0801/demo-app-text-sentiment-analysis,2.0
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,joey1895/nlptown-bert-base-multilingual-uncased-sentiment,1.9
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,Chris4K/chained,17.4
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,BulatF/StreamlitSentiment,11.4
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,kitakitune/spaces0703,2.2
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,Krupa049/Milestone-2,680.7
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,CosmoAI/CosmoS,8.9
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,alexanderander30/nlptown-bert-base-multilingual-uncased-sentiment,1.9
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,Sixty9/SixthSense,4.3
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,Abdel/nlptown-bert-base-multilingual-uncased-sentiment,1.9
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,GroNLP/LM-Explanation-Demo,7566.5
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,Sudhanshu976/NLP_FULL_APP,3594.5
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,TensorBoyML/Lucky-Pika,3.4
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,Sowmya1022/nlptown-bert-base-multilingual-uncased-sentiment,1.9
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,ans123/nlptown-bert-base-multilingual-uncased-sentiment,1.9
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,LeireTedCas/QUIROHELP_WEB_v1,690802.8
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,kmanoj/Sentiment_Analysis,6.5
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,rohanvetale/sent1,6.5
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,taimoor61/classification,2.7
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,7jimmy/textclassificationbysharjeel,2.6
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,7jimmy/textclassificationbyjiimy,2.9
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,intelligentr/financeassistantbot,46083.4
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,archiagrawal/FinancialSentimentAnalyzer,3.0
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,wendywu/HomeX,5.4
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,NguyenVietCuong/similarity-bert,228.7
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,Chris4K/sentiment-tool,3.9
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,Chris4K/sentiment-analysis-tool,3.9
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,indkhan/YoutubeSentiment,4.4
text-classification,nlptown/bert-base-multilingual-uncased-sentiment,waldev/testapp,4.8
text-classification,cardiffnlp/twitter-roberta-base-sentiment,johnowhitaker/twitter_viz,5.9
text-classification,cardiffnlp/twitter-roberta-base-sentiment,Bedirhan/bitirme-proje,10.3
text-classification,cardiffnlp/twitter-roberta-base-sentiment,miesnerjacob/Multi-task-NLP,32.5
text-classification,cardiffnlp/twitter-roberta-base-sentiment,pouchedfox/SP,8.2
text-classification,cardiffnlp/twitter-roberta-base-sentiment,pouchedfox/Sen,9.6
text-classification,cardiffnlp/twitter-roberta-base-sentiment,Jayeshbhaal/news_filter_for_social_wellbeing,384.9
text-classification,cardiffnlp/twitter-roberta-base-sentiment,euvieeugenio/textclassification_demo_app,2.7
text-classification,cardiffnlp/twitter-roberta-base-sentiment,varunkuntal/twitter-roberta-base-sentiment,1.8
text-classification,cardiffnlp/twitter-roberta-base-sentiment,furquan/TwitterSentimentAnalysisRoberta,348.2
text-classification,cardiffnlp/twitter-roberta-base-sentiment,edusei/sentiment,13.8
text-classification,cardiffnlp/twitter-roberta-base-sentiment,Captainlongshort/TwitterSentiment,1.8
text-classification,cardiffnlp/twitter-roberta-base-sentiment,Mohit-321/WhatsappchatAnalyzer,21.2
text-classification,cardiffnlp/twitter-roberta-base-sentiment,kajalag/Whatsapp_Chat_Analyzer,21.2
text-classification,cardiffnlp/twitter-roberta-base-sentiment,ac8736/sentiment-analysis-app,94.9
text-classification,cardiffnlp/twitter-roberta-base-sentiment,MJ3128/CS-GY-6613-Project,271211.3
text-classification,cardiffnlp/twitter-roberta-base-sentiment,sethlxk/milestone2,3.3
text-classification,cardiffnlp/twitter-roberta-base-sentiment,sihanasaku/SentimentAnalysisApp,1.3
text-classification,cardiffnlp/twitter-roberta-base-sentiment,juliaannjose/SentimentAnalysis,2.8
text-classification,cardiffnlp/twitter-roberta-base-sentiment,Olivernyu/sentiment_analysis_app,9.2
text-classification,cardiffnlp/twitter-roberta-base-sentiment,EmirLise/sentiment_analysis,1.9
text-classification,cardiffnlp/twitter-roberta-base-sentiment,arianasutanto/milestone2,2.8
text-classification,cardiffnlp/twitter-roberta-base-sentiment,miknad2319/CS485-Milestone-2,26.3
text-classification,cardiffnlp/twitter-roberta-base-sentiment,andyqin18/sentiment-analysis-app,136545.1
text-classification,cardiffnlp/twitter-roberta-base-sentiment,dahongj/sentiment-analysis,84.7
text-classification,cardiffnlp/twitter-roberta-base-sentiment,slachitoff/CS-GY_6613_Project,3.8
text-classification,cardiffnlp/twitter-roberta-base-sentiment,Kev07/Toxic-Tweets,89.4
text-classification,cardiffnlp/twitter-roberta-base-sentiment,VarshithaCh/sentiment-analysis-app,2.6
text-classification,cardiffnlp/twitter-roberta-base-sentiment,jbraha/aiproject,450500.3
text-classification,cardiffnlp/twitter-roberta-base-sentiment,notbhu/toxic-tweets,460.3
text-classification,cardiffnlp/twitter-roberta-base-sentiment,simon-kurbiel/sen-analysis,2.1
text-classification,cardiffnlp/twitter-roberta-base-sentiment,simon-kurbiel/Sentiment-Analysis,3.1
text-classification,cardiffnlp/twitter-roberta-base-sentiment,Ptato/Sentiment-Analysis,61881.1
text-classification,cardiffnlp/twitter-roberta-base-sentiment,saccharinedreams/sentiment-analysis-app,1873.7
text-classification,cardiffnlp/twitter-roberta-base-sentiment,AaronBarbosa/twitter_sentiment,1645.1
text-classification,cardiffnlp/twitter-roberta-base-sentiment,xingxing12/cardiffnlp-twitter-roberta-base-sentiment,1.8
text-classification,cardiffnlp/twitter-roberta-base-sentiment,dperales/ITACA_Insurance_Core_v4,250.4
text-classification,cardiffnlp/twitter-roberta-base-sentiment,jeromechew15/milestone2,3.3
text-classification,cardiffnlp/twitter-roberta-base-sentiment,rk2546/csgy-6613-project-rk2546,94385.6
text-classification,cardiffnlp/twitter-roberta-base-sentiment,EmirLise/Toxic_Clasifier,6.1
text-classification,cardiffnlp/twitter-roberta-base-sentiment,JKJanosko/Toxicity-Analysis,481347.8
text-classification,cardiffnlp/twitter-roberta-base-sentiment,simon-kurbiel/tweet-toxicity,2.2
text-classification,cardiffnlp/twitter-roberta-base-sentiment,rbbotadra/toxicity-analyzer-app,514684.5
text-classification,cardiffnlp/twitter-roberta-base-sentiment,danielperales/ITACA_Insurace_NLP_v2,250.4
text-classification,cardiffnlp/twitter-roberta-base-sentiment,VarshithaCh/patentability,274677.1
text-classification,cardiffnlp/twitter-roberta-base-sentiment,HarshAI/Dual_Model_Sentiment_Analyzer,3.7
text-classification,cardiffnlp/twitter-roberta-base-sentiment,aus10powell/TwitterAccounts,3146156.3
text-classification,cardiffnlp/twitter-roberta-base-sentiment,SaraHossam/SentimentAnalysis,2.7
text-classification,cardiffnlp/twitter-roberta-base-sentiment,Mohit-321/Whatsapp_Chat_Analyzer,21.1
text-classification,cardiffnlp/twitter-roberta-base-sentiment,nassga/Toxic_tweets_analizer,3.0
text-classification,cardiffnlp/twitter-roberta-base-sentiment,k-varma/tweet-sentiment-analysis,3.1
text-classification,cardiffnlp/twitter-roberta-base-sentiment,HOLYBOY/Sentiment_Analysis_App,31.9
text-classification,cardiffnlp/twitter-roberta-base-sentiment,asungajinli/cardiffnlp-twitter-roberta-base-sentiment,1.9
text-classification,cardiffnlp/twitter-roberta-base-sentiment,lokesh6361/analysis,2.5
text-classification,cardiffnlp/twitter-roberta-base-sentiment,benmanks/Sentiment-app,3.7
text-classification,cardiffnlp/twitter-roberta-base-sentiment,jatinjaglan/wca,22.3
text-classification,cardiffnlp/twitter-roberta-base-sentiment,RosiSoyYo/AIIA,4.4
text-classification,cardiffnlp/twitter-roberta-base-sentiment,GameReview/youtubegamereview,9.1
text-classification,cardiffnlp/twitter-roberta-base-sentiment,adejumobi/ratingsapp,7091.5
text-classification,cardiffnlp/twitter-roberta-base-sentiment,cuteharrie/ratingsapp,4695.4
text-classification,cardiffnlp/twitter-roberta-base-sentiment,rk2546/csgy-6613-project-rk2546-backup,94386.1
text-classification,cardiffnlp/twitter-roberta-base-sentiment,bongaswonga/youtubegamereview,9.1
text-classification,cardiffnlp/twitter-roberta-base-sentiment,GameReview/youtubegamereview2,9.1
text-classification,ProsusAI/finbert,sbhatti2009/stock-analysis,9.4
text-classification,ProsusAI/finbert,sohomghosh/FinRead,619.3
text-classification,ProsusAI/finbert,vives/bert_cvent_top_k_sim,3017483.0
text-classification,ProsusAI/finbert,husnu/ASR_to_QA,57.3
text-classification,ProsusAI/finbert,EnzoBustos/IC-2022-Classificacao-de-Dados-Financeiros,653033.8
text-classification,ProsusAI/finbert,rajistics/interpet_transformers,56.9
text-classification,ProsusAI/finbert,IoannisTr/Tech_Stocks_Trading_Assistant,449493.9
text-classification,ProsusAI/finbert,Shredder/CONBERT,1572905.7
text-classification,ProsusAI/finbert,Shredder/Prototype,1572941.5
text-classification,ProsusAI/finbert,Shredder/CONBERT-2,1572905.4
text-classification,ProsusAI/finbert,Shredder/Sample,1572906.1
text-classification,ProsusAI/finbert,Shredder/CONBERT-3,1572905.4
text-classification,ProsusAI/finbert,ESG-TFM-UV/ESG_API_BATCH,272412.4
text-classification,ProsusAI/finbert,sohomghosh/FLUEnT,2957013.4
text-classification,ProsusAI/finbert,kandy/Lab_stat,2.1
text-classification,ProsusAI/finbert,wiraindrak/financial-sentiment-classification-indonesia,6.7
text-classification,ProsusAI/finbert,amgross01/Stocks_Trading_Assistant,449493.9
text-classification,ProsusAI/finbert,wuwu1/ProsusAI-finbert,1.7
text-classification,ProsusAI/finbert,darthPanda/SentimentAnalysisTool,33.6
text-classification,ProsusAI/finbert,ateliershen/ProsusAI-finbert,1.8
text-classification,ProsusAI/finbert,Swindu/ProsusAI-finbert,1.8
text-classification,ProsusAI/finbert,kelvinleong/Kt-Demo-Text_classifier-2,2.4
text-classification,ProsusAI/finbert,darthPanda/Social_media_sentiment_tracker,206.1
text-classification,ProsusAI/finbert,awacke1/HEDIS.Dash.Component.Top.Clinical.Terminology.Vocabulary,28.5
text-classification,ProsusAI/finbert,ac8736/sentiment-analysis-app,94.9
text-classification,ProsusAI/finbert,miknad2319/CS485-Milestone-2,26.3
text-classification,ProsusAI/finbert,Pruthul/CS482-104-Milestone2,3.3
text-classification,ProsusAI/finbert,slachitoff/CS-GY_6613_Project,3.8
text-classification,ProsusAI/finbert,huangtianba/ProsusAI-finbert,1.8
text-classification,ProsusAI/finbert,JKJanosko/Toxicity-Analysis,481347.8
text-classification,ProsusAI/finbert,2gauravc/ProsusAI-finbert,1.8
text-classification,ProsusAI/finbert,kya5/CS482-Milestone2,2.7
text-classification,ProsusAI/finbert,Ntabukiraniro/Finance,2441.5
text-classification,ProsusAI/finbert,talaa/Financial-sentiment-news-analysis,16.4
text-classification,ProsusAI/finbert,sohomghosh/FinLanSer_Financial_Language_Simplifier,1384129.8
text-classification,ProsusAI/finbert,daramaccoille/ProsusAI-finbert,1.8
text-classification,ProsusAI/finbert,teragron/ekmek,5.1
text-classification,ProsusAI/finbert,Himanshusingh/sec_sentiment_analysis,66.5
text-classification,ProsusAI/finbert,manvik28/SEC_Sentiment_Analysis,13.7
text-classification,ProsusAI/finbert,asungajinli/ProsusAI-finbert,1.8
text-classification,ProsusAI/finbert,TrungTech/Financial_Sentiment_Analysis_with_BERT,1384129.8
text-classification,ProsusAI/finbert,TrungTech/finBert,15.2
text-classification,ProsusAI/finbert,kp03/finBert,15.8
text-classification,ProsusAI/finbert,kudoshinichi/hf-sentiment-models,2.5
text-classification,ProsusAI/finbert,davissong01/financial-sentiment-analysis,2.4
text-classification,ProsusAI/finbert,mixcard/text-finbert,1.8
text-classification,ProsusAI/finbert,justlookup/ProsusAI-finbert,1.8
text-classification,ProsusAI/finbert,alexpaul/ProsusAI-finbert,1.8
text-classification,ProsusAI/finbert,JaCrispy35/financial_sentiment_analysis_advisor,5.3
text-classification,ProsusAI/finbert,Prashanthms/aipirate-fin-bot,17.1
text-classification,ProsusAI/finbert,Khushter/my_finance_app,3.6
text-classification,ProsusAI/finbert,doru-beniamin/Fin_Sent_An,2.7
text-classification,ProsusAI/finbert,sagarjana94/aibattleground,129.6
text-classification,ProsusAI/finbert,kumar9/flaskapp,4.8
text-classification,ProsusAI/finbert,atishayj281/futurefabricators,4.1
text-classification,ProsusAI/finbert,Learto/Financial_Sentiment_Analyzer,3.8
text-classification,ProsusAI/finbert,Saritad/Maverick-finbert,1.8
text-classification,ProsusAI/finbert,jdelgado2002/ProsusAI-finbert,1.8
text-classification,ProsusAI/finbert,RobertCastagna/Fin_Research,50.7
text-classification,ProsusAI/finbert,MISTP/flaskapp,11.5
text-classification,padmajabfrl/Gender-Classification,GroNLP/LM-Explanation-Demo,7566.5
text-classification,cross-encoder/ms-marco-MiniLM-L-4-v2,theachyuttiwari/lfqa1,296.6
text-classification,cross-encoder/ms-marco-MiniLM-L-4-v2,Rschmaelzle/wikipedia-assistant,1179.4
text-classification,cross-encoder/ms-marco-MiniLM-L-4-v2,king007/wikipedia-assistant,1179.7
text-classification,cross-encoder/ms-marco-MiniLM-L-6-v2,khoj/NSE,309969.0
text-classification,cross-encoder/ms-marco-MiniLM-L-6-v2,Sammy03/neuralserach,309968.8
text-classification,cross-encoder/ms-marco-MiniLM-L-6-v2,abhibisht89/neural-search-engine,309969.1
text-classification,cross-encoder/ms-marco-MiniLM-L-6-v2,algomuffin/neural-search-engine,309968.8
text-classification,cross-encoder/ms-marco-MiniLM-L-6-v2,theachyuttiwari/lfqa1,296.6
text-classification,cross-encoder/ms-marco-MiniLM-L-6-v2,rajistics/Ask-Wiki,309968.4
text-classification,cross-encoder/ms-marco-MiniLM-L-6-v2,Jai12345/Search_Engine,309968.5
text-classification,cross-encoder/ms-marco-MiniLM-L-6-v2,Jai12345/SearchEngine,309968.3
text-classification,cross-encoder/ms-marco-MiniLM-L-6-v2,NealCaren/paragraphs,562.4
text-classification,cross-encoder/ms-marco-MiniLM-L-6-v2,NealCaren/ASA2022,6.3
text-classification,cross-encoder/ms-marco-MiniLM-L-6-v2,domenicrosati/scite-qa-demo,18.7
text-classification,cross-encoder/ms-marco-MiniLM-L-6-v2,shripadbhat/Clinical_Note_Question_Answering,21.8
text-classification,cross-encoder/ms-marco-MiniLM-L-6-v2,diagaiwei/ir_chinese_medqa,1557377.8
text-classification,cross-encoder/ms-marco-MiniLM-L-6-v2,hamza50/hotelfinder,33127.8
text-classification,cross-encoder/ms-marco-MiniLM-L-6-v2,hamza50/parishotel,33127.8
text-classification,cross-encoder/ms-marco-MiniLM-L-6-v2,hamza50/gradiotest,31237.0
text-classification,cross-encoder/ms-marco-MiniLM-L-6-v2,shripadbhat/Document_Question_Answering,24.9
text-classification,cross-encoder/ms-marco-MiniLM-L-6-v2,shripadbhat/Question_Answering_Document,5.1
text-classification,cross-encoder/ms-marco-MiniLM-L-6-v2,Sybghat/question-answer,5.7
text-classification,cross-encoder/ms-marco-MiniLM-L-6-v2,profoz/index_demo,488.7
text-classification,cross-encoder/ms-marco-MiniLM-L-6-v2,Rschmaelzle/wikipedia-assistant,1179.4
text-classification,cross-encoder/ms-marco-MiniLM-L-6-v2,obss/question-answering-demo,72094.0
text-classification,cross-encoder/ms-marco-MiniLM-L-6-v2,AkashKhamkar/Job_Search_Engine,115377.0
text-classification,cross-encoder/ms-marco-MiniLM-L-6-v2,gfhayworth/wiki_chat,5.2
text-classification,cross-encoder/ms-marco-MiniLM-L-6-v2,gfhayworth/hack_qa,7.1
text-classification,cross-encoder/ms-marco-MiniLM-L-6-v2,sritang/test2,19264.3
text-classification,cross-encoder/ms-marco-MiniLM-L-6-v2,namoopsoo/text-audio-video,17159.7
text-classification,cross-encoder/ms-marco-MiniLM-L-6-v2,namoopsoo/text-audio-video-policies,17547.1
text-classification,cross-encoder/ms-marco-MiniLM-L-6-v2,sritang/hack_qa2,15846.3
text-classification,cross-encoder/ms-marco-MiniLM-L-6-v2,namoopsoo/text-audio-video-policies-t4,17183.5
text-classification,cross-encoder/ms-marco-MiniLM-L-6-v2,gfhayworth/chat_qa_demo,1708.1
text-classification,cross-encoder/ms-marco-MiniLM-L-6-v2,NealCaren/smhunt,562.3
text-classification,cross-encoder/ms-marco-MiniLM-L-6-v2,gfhayworth/chat_qa_demo2,8657.3
text-classification,cross-encoder/ms-marco-MiniLM-L-6-v2,NealCaren/absoc,562.3
text-classification,cross-encoder/ms-marco-MiniLM-L-6-v2,HarryLee/QueryExpansion,467279.7
text-classification,cross-encoder/ms-marco-MiniLM-L-6-v2,Sabareeshr/searchbar,309970.5
text-classification,cross-encoder/ms-marco-MiniLM-L-6-v2,HarryLee/QueryExpansionForEtsy,534843.7
text-classification,cross-encoder/ms-marco-MiniLM-L-6-v2,Sabareeshr/neural-search-engine,309968.9
text-classification,cross-encoder/ms-marco-MiniLM-L-6-v2,Sabareeshr/neural-search-enginen,309968.9
text-classification,cross-encoder/ms-marco-MiniLM-L-6-v2,gfhayworth/hopt,197.3
text-classification,cross-encoder/ms-marco-MiniLM-L-6-v2,gfhayworth/sales_qa,11103.7
text-classification,cross-encoder/ms-marco-MiniLM-L-6-v2,gfhayworth/sales_qa2,20210.7
text-classification,cross-encoder/ms-marco-MiniLM-L-6-v2,fizban/simiandb,3848297.6
text-classification,cross-encoder/ms-marco-MiniLM-L-6-v2,king007/wikipedia-assistant,1179.7
text-classification,cross-encoder/ms-marco-MiniLM-L-6-v2,jacinthes/PubMed-fact-checker,15.3
text-classification,cross-encoder/ms-marco-MiniLM-L-6-v2,bwconrad/manga-semantic-search,4984.1
text-classification,cross-encoder/ms-marco-MiniLM-L-6-v2,yinlinfu/QueryExpansionForEtsy,6501229.4
text-classification,cross-encoder/ms-marco-MiniLM-L-6-v2,AdaptiveStoryfinder/FastAdaptiveSf,5010420.2
text-classification,cross-encoder/ms-marco-MiniLM-L-6-v2,Jackie2235/QueryExpansionForEtsy,468433.3
text-classification,cross-encoder/ms-marco-MiniLM-L-6-v2,Corran/Scrapalot-Search-Demo,12.0
text-classification,cross-encoder/ms-marco-MiniLM-L-6-v2,rishikesh/search_offers,1377.5
text-classification,cross-encoder/ms-marco-MiniLM-L-6-v2,NealCaren/sm_hunt,8.2
text-classification,cross-encoder/ms-marco-MiniLM-L-6-v2,shriadke/FetchSearch,17261.2
text-classification,cross-encoder/ms-marco-MiniLM-L-6-v2,legacy107/flan-t5-large-ia3-covidqa,9.4
text-classification,cross-encoder/ms-marco-MiniLM-L-6-v2,sukantan/wizardlwy,10.4
text-classification,cross-encoder/ms-marco-MiniLM-L-6-v2,minh21/finetune-flan-t5-large-ia3-covidqa,9.2
text-classification,cross-encoder/ms-marco-MiniLM-L-6-v2,legacy107/flan-t5-large-ia3-newsqa,6.5
text-classification,cross-encoder/ms-marco-MiniLM-L-6-v2,AlexKagan/RAG_cross_encoder,8780.9
text-classification,cross-encoder/ms-marco-MiniLM-L-6-v2,AlexKagan/RAG_sample_more_documents,7721.1
text-classification,cross-encoder/ms-marco-MiniLM-L-6-v2,nlatuha/rag_project,71729.2
text-classification,cross-encoder/ms-marco-MiniLM-L-6-v2,katyaniki/RAG-project-new,5395.3
text-classification,cross-encoder/ms-marco-MiniLM-L-6-v2,JPBianchi/vectorsearch,32082.0
text-classification,cross-encoder/ms-marco-MiniLM-L-6-v2,pragneshbarik/ebook-gen,29.1
text-classification,cross-encoder/ms-marco-MiniLM-L-6-v2,nnngoc/chatbot_bk1,629.0
text-classification,cross-encoder/ms-marco-MiniLM-L-6-v2,nnngoc1/chatbot_bk2,627.9
text-classification,cross-encoder/ms-marco-MiniLM-L-6-v2,nnngoc/chatbot_bk,628.0
text-classification,cross-encoder/ms-marco-MiniLM-L-6-v2,hcmut-ai/chatbot_bk,628.0
text-classification,cross-encoder/ms-marco-MiniLM-L-6-v2,pragneshbarik/mixtral-search,28.1
text-classification,cardiffnlp/twitter-xlm-roberta-base-sentiment,g8a9/ferret,132.2
text-classification,cardiffnlp/twitter-xlm-roberta-base-sentiment,kyled/PhraseSentimentEmotionAnalysis,3.0
text-classification,cardiffnlp/twitter-xlm-roberta-base-sentiment,Sudheer/Pandavas3.0,36.4
text-classification,cardiffnlp/twitter-xlm-roberta-base-sentiment,imperialwool/funapi,83.6
text-classification,cardiffnlp/twitter-xlm-roberta-base-sentiment,msalazark/cardiffnlp-twitter-xlm-roberta-base-sentiment,1.8
text-classification,cardiffnlp/twitter-xlm-roberta-base-sentiment,junming-qiu/toxic-tweets-milestone-2,1484.4
text-classification,cardiffnlp/twitter-xlm-roberta-base-sentiment,magnolia-psychometrics/item-desirability-demo,588.0
text-classification,cardiffnlp/twitter-xlm-roberta-base-sentiment,Pruthul/CS482-104-Milestone2,3.3
text-classification,cardiffnlp/twitter-xlm-roberta-base-sentiment,Ariel8/sentiment-analysis,2.7
text-classification,cardiffnlp/twitter-xlm-roberta-base-sentiment,sm2899/sentiment-analysis,2.4
text-classification,cardiffnlp/twitter-xlm-roberta-base-sentiment,thotranexe/milestone2,2.1
text-classification,cardiffnlp/twitter-xlm-roberta-base-sentiment,Ariel8/Toxic-Tweets,37.9
text-classification,cardiffnlp/twitter-xlm-roberta-base-sentiment,kya5/CS482-Milestone2,2.7
text-classification,cardiffnlp/twitter-xlm-roberta-base-sentiment,zox47/cardiffnlp-twitter-xlm-roberta-base-sentiment,1.8
text-classification,cardiffnlp/twitter-xlm-roberta-base-sentiment,unaiolaizola/analisis_metacognitivo,696.1
text-classification,cardiffnlp/twitter-xlm-roberta-base-sentiment,psycen/cardiffnlp-twitter-xlm-roberta-base-sentiment,1.8
text-classification,cardiffnlp/twitter-xlm-roberta-base-sentiment,834188divi/cardiffnlp-twitter-xlm-roberta-base-sentiment,1.9
text-classification,cardiffnlp/twitter-xlm-roberta-base-sentiment,holistic-ai/emotion-recognition,3.9
text-classification,cardiffnlp/twitter-roberta-base-sentiment,kenlomax/hackaithon101,2.3
text-classification,mrm8488/distilroberta-finetuned-financial-news-sentiment-analysis,anandhere/mrm8488-distilroberta-finetuned-financial-news-sentiment-analysis,1.9
text-classification,cross-encoder/ms-marco-MiniLM-L-6-v2,Abdul-Ib/Full-text-Search,376126.3
text-classification,cross-encoder/ms-marco-TinyBERT-L-2-v2,abokbot/wikipedia-search-engine,5.4
text-classification,cross-encoder/ms-marco-TinyBERT-L-2-v2,rasmus1610/carotis_chatbot,10973.6
text-classification,cross-encoder/ms-marco-TinyBERT-L-2-v2,akazakov/rag-gradio-sample-project,29004.0
text-classification,cross-encoder/ms-marco-TinyBERT-L-2-v2,MikhailGolt/gradio_attempt_3,9409.9
text-classification,cross-encoder/ms-marco-TinyBERT-L-2-v2,akazakov/rag2,49.3
text-classification,cross-encoder/ms-marco-TinyBERT-L-2-v2,bhulston/USC-GPT,14.2
text-classification,cross-encoder/ms-marco-TinyBERT-L-2-v2,USC/USC-GPT,14.5
text-classification,CAMeL-Lab/bert-base-arabic-camelbert-da-sentiment,AwsSmadi/CAMeL-Lab-bert-base-arabic-camelbert-da-sentiment,1.8
text-classification,CAMeL-Lab/bert-base-arabic-camelbert-da-sentiment,NatsuFlow/CAMeL-Lab-bert-base-arabic-camelbert-da-sentiment,1.9
